Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
City Park,2017,451700,457700,478500,467300,467000,482200,453300,450000,468100,478700,479400,481100
City Park,2018,470500,472200,472200,473600,477600,477100,475400,497800,513500,529500,537800,536300
City Park,2019,539800,532900,530200,524300,518200,516000,519900,509100,460500,463700,465800,467500
City Park,2020,475600,471000,478200,478300,481800,477800,478400,482100,493800,494500,520300,540800
City Park,2021,546000,547200,557200,575900,598300,599400,594700,573300,554400,556100,554700,555300
City Park,2022,571000,582300,570700,643500,654100,656300,652700,644500,950000,884400,889600,0
University Park,2017,886661,912200,920261,914961,911411,918455,923238,918605,928177,929305,945350,944550
University Park,2018,1006016,1013283,1039727,1071533,1045261,1042288,1047811,1053972,1077816,1071777,1068844,1113538
University Park,2019,1103683,1110338,1102727,1083038,1090388,1090038,1085788,1096755,1084688,1084388,1080188,1081633
University Park,2020,1083300,1095711,1106877,1112655,1099594,1087388,1098800,1093794,1095155,1108894,1125350,1144161
University Park,2021,1261744,1295133,1331500,1385705,1381916,1412411,1429072,1390927,1389816,1429833,1469688,1482661
University Park,2022,1524438,1547461,1696894,1730711,1751383,1764388,1941516,1908572,2014522,2027100,2006427,0
Virginia Village,2017,344691,350316,356525,358783,364100,367633,367475,371641,372683,375391,378050,382075
Virginia Village,2018,376950,375075,389616,390916,395383,394116,398691,399641,401633,405016,404450,408091
Virginia Village,2019,407716,406075,408000,417225,416733,413266,411425,411925,407483,407983,408425,410708
Virginia Village,2020,414258,416083,418741,418566,418408,420233,417300,419008,422600,432675,438700,445925
Virginia Village,2021,449575,455791,465133,496666,508875,511700,511891,499983,494416,496366,498666,505091
Virginia Village,2022,512583,524958,566258,583266,573725,584266,560208,616983,638058,626800,619191,0
Cherry Creek,2017,1745131,1769757,1771831,1769394,1750005,1745663,1700026,1708526,1729568,1717668,1736331,1763510
Cherry Creek,2018,1702331,1712226,1786500,1837836,1873357,1882547,1879705,1893926,1880768,1919731,1903421,1832610
Cherry Creek,2019,1860973,1855178,1825105,2254805,2310000,2310089,2283715,2294568,2329142,2328189,2333500,2344757
Cherry Creek,2020,2371347,2367794,2407452,2408384,2019036,2252442,2284484,2283963,2013078,2034605,2514689,2521984
Cherry Creek,2021,2534394,2567915,2578278,2640484,2665526,1963578,2636552,2616552,2390094,2593263,2611042,2644994
Cherry Creek,2022,2668826,2725026,2982184,2995500,3005126,2971273,2908484,3000542,3267973,3290468,3347731,0
Cole,2017,433900,442525,456425,455925,456275,464200,468350,470875,476100,479250,475300,484650
Cole,2018,464300,464200,483450,482900,485800,491200,498600,501600,501750,501275,500550,512500
Cole,2019,504700,506575,506950,516075,516400,515475,512425,524300,520375,521550,521425,521775
