Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bear-valley,2020,29,22,33,40,38,40,46,49,51,56,41,45
bear-valley,2021,29,27,37,33,47,49,43,41,31,56,53,72
bear-valley,2022,65,37,50,53,45,47,70,52,0,0,0,0
cheesman-park,2017,50,52,71,64,82,80,92,97,66,84,62,66
cheesman-park,2018,70,72,69,63,86,93,97,128,111,68,74,71
cheesman-park,2019,63,64,83,104,92,105,122,103,112,63,68,68
cheesman-park,2020,100,77,69,89,84,77,85,98,65,71,68,85
cheesman-park,2021,71,55,73,74,84,81,78,77,76,65,77,61
cheesman-park,2022,77,71,73,95,85,72,75,77,1,0,0,0
chaffee-park,2017,28,20,27,26,28,29,28,29,28,31,19,30
chaffee-park,2018,43,29,29,33,15,39,29,34,30,35,21,22
chaffee-park,2019,22,15,22,22,22,30,34,30,19,13,11,22
chaffee-park,2020,36,28,29,14,28,32,26,32,37,26,33,35
chaffee-park,2021,36,29,32,33,29,32,22,33,27,31,23,38
chaffee-park,2022,20,35,27,28,34,28,23,30,0,0,0,0
marston,2017,31,29,33,38,81,43,80,75,44,42,31,49
marston,2018,46,35,30,41,32,35,34,37,40,37,26,43
marston,2019,29,26,23,32,34,35,46,50,53,61,27,44
marston,2020,45,26,44,37,59,66,23,50,34,51,34,40
marston,2021,49,32,58,47,28,48,45,31,37,40,43,48
marston,2022,50,41,52,50,49,51,48,55,1,0,0,0
north-park-hill,2017,28,32,28,28,37,24,30,39,37,38,27,19
north-park-hill,2018,38,23,19,38,52,40,42,43,51,24,26,21
north-park-hill,2019,35,27,21,26,37,33,44,38,49,38,30,47
north-park-hill,2020,23,18,25,31,45,33,51,25,41,36,33,37
north-park-hill,2021,42,46,42,38,52,49,43,45,34,41,41,41
north-park-hill,2022,37,43,23,38,45,31,33,28,1,0,0,0
west-colfax,2017,114,106,110,97,128,126,161,134,133,145,124,102
west-colfax,2018,128,116,95,129,146,105,131,142,131,133,117,94
west-colfax,2019,117,89,93,89,120,137,146,135,101,103,110,97
west-colfax,2020,95,93,96,105,125,116,151,122,112,130,125,155
west-colfax,2021,138,106,101,132,164,135,139,153,133,142,118,155
west-colfax,2022,130,146,180,158,148,138,155,194,4,0,0,0
hampden,2017,79,85,87,73,104,109,92,103,99,115,109,116
hampden,2018,84,82,94,94,113,121,102,111,101,86,76,77
hampden,2019,72,85,100,82,83,82,91,108,85,75,84,89
hampden,2020,96,85,99,113,101,111,119,147,146,148,158,182
hampden,2021,171,133,132,135,127,162,140,179,161,128,151,182
hampden,2022,160,123,168,161,164,171,151,174,1,0,0,0
country-club,2017,8,6,17,5,8,19,9,14,9,7,7,9
country-club,2018,9,8,5,6,8,12,10,17,9,11,9,10
country-club,2019,15,11,4,6,9,10,15,16,17,13,8,15
country-club,2020,3,6,12,10,9,8,19,8,33,27,11,8
country-club,2021,15,25,20,23,19,24,12,23,17,17,10,15
country-club,2022,14,10,7,12,13,14,16,13,0,0,0,0
central-park,2017,158,152,150,156,158,197,193,225,192,224,158,258
central-park,2018,246,210,189,204,213,241,240,192,188,216,202,235
central-park,2019,217,192,192,260,234,247,254,309,240,195,197,237
central-park,2020,289,173,172,194,200,218,230,272,272,248,250,256
central-park,2021,309,265,282,266,328,330,316,340,319,322,291,321
central-park,2022,335,374,391,350,347,335,327,349,7,0,0,0
clayton,2017,28,44,44,45,46,56,51,38,40,40,28,38
clayton,2018,36,30,40,46,29,32,47,46,32,27,30,32
clayton,2019,42,32,35,40,41,46,36,42,31,39,38,29
clayton,2020,32,19,36,50,44,37,51,52,31,43,48,34
clayton,2021,43,43,43,50,25,34,45,50,33,36,35,42
clayton,2022,49,31,55,41,57,43,60,54,4,0,0,0
virginia-village,2017,57,53,72,34,73,67,48,82,56,80,39,43
virginia-village,2018,66,47,52,56,41,39,60,61,58,62,40,55
virginia-village,2019,52,45,51,50,59,69,67,64,45,45,66,61
virginia-village,2020,56,53,61,68,73,74,73,89,68,88,76,113
virginia-village,2021,113,89,96,77,79,98,77,124,92,79,90,86
virginia-village,2022,107,98,91,64,62,78,68,93,2,0,0,0
skyland,2017,14,18,16,16,17,20,20,21,25,16,22,12
skyland,2018,16,17,19,19,13,13,10,21,11,12,10,4
skyland,2019,12,5,16,14,18,6,12,14,22,12,14,6
skyland,2020,17,7,13,19,24,18,20,13,28,29,20,26
skyland,2021,23,20,22,18,26,20,22,21,21,26,24,12
skyland,2022,21,17,15,24,19,18,13,22,0,0,0,0
rosedale,2017,18,16,14,19,15,13,12,21,16,18,16,14
rosedale,2018,9,10,19,15,18,19,17,16,20,22,12,7
rosedale,2019,11,16,11,16,14,19,20,13,14,24,18,15
rosedale,2020,18,12,15,10,17,9,15,16,26,19,21,28
rosedale,2021,18,16,19,16,17,15,16,20,16,14,16,17
rosedale,2022,18,21,17,20,18,15,16,17,0,0,0,0
villa-park,2017,60,47,75,66,62,76,64,84,78,81,53,69
villa-park,2018,95,56,79,106,113,65,89,87,89,68,60,62
villa-park,2019,65,62,84,43,54,76,85,90,72,44,67,50
villa-park,2020,73,48,51,48,83,71,76,99,89,92,87,69
villa-park,2021,84,86,86,79,91,84,96,65,63,88,76,100
villa-park,2022,88,75,87,113,86,90,91,91,5,0,0,0
hilltop,2017,19,10,23,15,26,17,19,27,23,31,12,25
hilltop,2018,19,16,24,31,29,23,28,30,30,19,15,28
hilltop,2019,23,36,25,30,33,37,26,34,21,24,23,21
hilltop,2020,25,17,16,16,31,34,30,42,36,57,33,56
hilltop,2021,46,39,33,37,33,48,50,44,35,41,37,32
hilltop,2022,35,43,36,26,24,41,41,41,1,0,0,0
hampden-south,2017,49,74,73,55,90,72,62,77,58,81,83,61
hampden-south,2018,72,48,60,64,70,65,64,77,50,71,59,65
hampden-south,2019,67,54,47,88,47,79,53,77,64,67,70,86
hampden-south,2020,83,51,69,70,75,78,76,111,109,111,99,106
hampden-south,2021,111,88,93,95,115,103,130,114,106,90,100,110
hampden-south,2022,126,139,141,114,124,130,114,111,5,0,0,0
highland,2017,61,64,77,70,106,107,119,104,71,86,81,79
highland,2018,68,66,94,106,128,82,82,95,96,71,70,53
highland,2019,92,66,75,59,84,74,94,77,85,74,73,84
highland,2020,88,86,83,66,102,102,112,110,122,101,78,103
highland,2021,99,93,94,105,131,122,135,143,115,116,102,104
highland,2022,97,93,87,105,125,109,126,121,3,0,0,0
athmar-park,2017,50,54,52,68,62,76,72,65,60,71,63,50
athmar-park,2018,66,63,63,81,50,54,98,59,69,78,67,54
athmar-park,2019,74,51,47,68,51,50,53,58,59,60,51,50
athmar-park,2020,73,59,69,50,63,61,54,82,69,68,59,57
athmar-park,2021,61,39,65,51,59,74,83,87,66,59,65,55
athmar-park,2022,73,67,103,78,100,72,58,64,1,0,0,0
university-hills,2017,39,39,56,33,44,33,43,42,46,41,39,21
university-hills,2018,30,30,42,53,60,43,62,64,61,35,64,56
university-hills,2019,57,44,29,44,27,46,42,33,33,38,35,38
university-hills,2020,39,34,32,25,38,27,42,44,41,45,42,40
university-hills,2021,52,38,42,34,34,35,41,34,39,59,48,57
university-hills,2022,49,35,60,41,81,70,63,77,1,0,0,0
hale,2017,32,26,31,35,33,41,34,37,44,54,37,30
hale,2018,35,34,30,29,42,43,42,40,42,42,35,42
hale,2019,31,25,27,39,39,46,46,47,47,36,39,44
hale,2020,30,38,44,39,48,46,51,62,52,42,48,60
hale,2021,85,61,70,58,56,55,57,92,49,53,48,74
hale,2022,78,58,81,88,73,64,61,68,2,0,0,0
mar-lee,2017,58,66,65,56,72,84,79,94,82,81,72,68
mar-lee,2018,73,64,67,74,100,88,92,103,61,79,70,73
mar-lee,2019,68,75,66,85,91,53,61,73,82,72,69,51
mar-lee,2020,75,58,57,53,68,79,86,90,69,62,84,75
mar-lee,2021,66,70,64,68,68,54,71,58,59,64,72,56
mar-lee,2022,72,56,79,54,76,76,57,76,1,0,0,0
city-park-west,2017,49,74,67,67,80,79,68,96,98,97,89,54
city-park-west,2018,65,43,58,73,88,91,97,108,95,98,76,54
city-park-west,2019,71,53,71,77,79,90,84,88,91,69,81,88
city-park-west,2020,90,72,59,70,86,69,87,80,69,69,83,105
city-park-west,2021,69,66,72,76,82,89,74,74,93,75,50,87
city-park-west,2022,74,57,97,96,109,100,113,94,1,0,0,0
five-points,2017,249,259,367,412,398,413,398,392,333,352,323,264
five-points,2018,277,242,293,331,346,317,332,380,341,296,257,315
five-points,2019,349,251,294,383,365,343,414,417,411,379,361,310
five-points,2020,476,330,315,239,301,275,309,364,349,337,299,340
five-points,2021,343,304,337,350,411,382,410,374,367,385,373,386
five-points,2022,374,322,406,375,428,446,458,467,10,0,0,0
westwood,2017,104,81,127,100,123,121,138,119,109,97,113,96
westwood,2018,113,90,108,132,134,96,110,118,127,122,113,106
westwood,2019,95,90,92,108,79,89,127,111,103,105,109,106
westwood,2020,98,100,89,91,113,106,113,131,118,114,89,87
westwood,2021,125,103,138,133,160,119,112,119,150,139,141,108
westwood,2022,117,97,131,142,113,110,128,140,7,0,0,0
harvey-park-south,2017,47,43,53,51,48,44,46,37,42,59,44,44
harvey-park-south,2018,53,39,68,46,60,42,32,50,55,43,51,38
harvey-park-south,2019,51,37,44,24,42,50,40,55,46,27,54,40
harvey-park-south,2020,45,60,34,46,50,46,42,51,39,37,46,49
harvey-park-south,2021,39,35,54,44,59,55,50,58,48,51,63,52
harvey-park-south,2022,57,53,55,42,52,39,60,47,1,0,0,0
baker,2017,95,87,112,87,83,89,126,111,103,81,83,65
baker,2018,92,67,91,99,97,103,90,103,91,114,75,61
baker,2019,87,57,81,76,85,74,112,100,84,103,76,80
baker,2020,78,68,81,81,100,93,126,145,101,112,118,99
baker,2021,125,82,114,107,121,113,136,105,133,88,86,115
baker,2022,98,99,92,112,126,112,130,124,1,0,0,0
indian-creek,2017,4,6,6,4,3,8,9,8,17,4,7,8
indian-creek,2018,5,7,8,4,9,7,12,4,10,4,2,9
indian-creek,2019,8,2,6,6,7,4,8,9,6,6,11,8
indian-creek,2020,8,11,2,14,9,14,16,16,14,10,17,14
indian-creek,2021,11,12,19,18,10,10,16,12,10,23,23,11
indian-creek,2022,9,15,7,19,14,12,7,21,1,0,0,0
elyria-swansea,2017,67,44,45,68,86,75,80,68,50,48,62,59
elyria-swansea,2018,64,43,51,66,47,58,52,69,64,72,62,45
elyria-swansea,2019,65,41,44,58,69,67,68,65,55,53,66,48
elyria-swansea,2020,78,44,55,47,69,94,98,99,84,68,73,92
elyria-swansea,2021,69,56,68,82,79,80,106,107,108,107,89,77
elyria-swansea,2022,93,72,74,95,98,98,88,81,2,0,0,0
capitol-hill,2017,163,157,215,205,227,250,172,298,247,224,181,172
capitol-hill,2018,188,179,199,164,208,246,340,307,243,205,169,167
capitol-hill,2019,186,160,179,207,191,206,256,249,253,258,148,147
capitol-hill,2020,195,173,168,200,474,387,274,242,247,222,189,210
capitol-hill,2021,257,165,189,216,225,217,242,267,254,218,249,216
capitol-hill,2022,216,179,243,246,253,244,257,310,4,0,0,0
university,2017,34,39,44,47,59,42,31,53,53,42,48,27
university,2018,41,35,37,47,46,38,29,53,42,59,34,33
university,2019,32,20,20,37,39,34,25,33,41,33,36,26
university,2020,30,28,28,21,42,41,30,42,49,37,28,47
university,2021,51,43,42,31,51,53,53,49,61,45,41,34
university,2022,59,44,41,45,49,50,56,47,1,0,0,0
ruby-hill,2017,51,56,56,66,71,71,64,68,58,65,51,46
ruby-hill,2018,60,62,56,59,44,54,71,87,66,58,62,52
ruby-hill,2019,63,47,63,51,51,80,62,64,61,66,65,58
ruby-hill,2020,55,77,46,71,45,42,102,77,68,62,68,67
ruby-hill,2021,79,66,65,61,80,59,64,67,71,62,61,54
